Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
"A Jewish Girlhood in Berlin, 1859-1879",Jenny Barth Bornstein,Paperback,USD 16.60,"Jenny Barth Bornstein was an intelligent and spirited child who would become one of Germany’s first women physicians.  Her frank and lively account of her childhood and adolescence in 1860s and 1870s Berlin paints a portrait of an upwardly-mobile Jewish family in Bismarck’s Germany. Jenny’s narrative is rich in detail, humor and pathos. It reflects the optimism of a prosperous and expansive epoch in German history, one in which German Jews increasingly became urban and middle class. Jenny’s memoir, now in English, is enriched by an introduction, an epilogue, footnotes and photographs.",2010,English,9780557721252,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Jenny Barth Bornstein,190,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish', 'German', 'Germany', 'history', 'memoir', 'nineteenth century', 'woman', ""women's memoir"", 'woman physician', 'Prussian Empire', 'Berlin', 'autobiography', 'Bismarck', 'growing up', 'girl', 'child']"
Judenhass,Dave Sim,Paperback,USD 8.21,"I decided some time ago that the term anti-Semitism (a 'coined' term of late nineteenth century origin) is completely inadequate to the abhorrent cultural phenomenon which it attempts to describe. For one thing, Arabs are Semites as well and the prejudice as it generally understood certainly doesn't apply equally to Arabs and Jews.

It was in the early stages of researching this graphic narrative that I first encountered the German term Judenhass. Literally, Jew-Hatred. It seemed to me that the term served to distill the ancient problem to its essence, and in such a way as to hopefully allow other non-Jews (like myself) to see the problem 'unlaundered' and through fresh eyes. Europe and various other jurisdictions aren't experiencing a sudden upsurge in 'anti-Semitism'. What they are experiencing is an upsurge in Judenhass -- Jew-Hatred. 

So that's what I've chosen to call this story.
- Dave Sim, Writer/Artist/Publisher",2014,English,9781312723337,History,All Rights Reserved - Standard Copyright License,By (author): Dave Sim,60,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Jew', 'Juden', 'anti-semitic', 'holocaust', 'nazi', 'christian', 'truman', 'pope john-paul']"
DANIK! A Holocaust Survivor - The True Story of David ben Kalma (David Zaid),Ross R. Olney,Hardcover,USD 49.24,"David Zaid survived the extermination of the Jews in Poland ordered by cruel German dictator Adolph Hitler. He went on to become a hero in the Israeli army. His voice is now stilled, but with this book he continues to speak out against the holocaust-deniers who insist that the atrocities, the death camps, the routine executions of Jews, never really happened. Zaid lived through it, lost his entire family to an uncaring German firing squad, and knows the truth. And if he ever questioned his own courage while hiding from the murderous Nazis and the equally murderous Polish farmers in a Polish forest, the questions were answered in the Israeli wars where he fought in hand to hand combat for his new homeland. He survived once again and saw his final dream come true when he, his wife and two sons, became citizens in the United States, his final and most beloved homeland.",2013,English,9781304660329,History,All Rights Reserved - Standard Copyright License,By (author): Ross R. Olney,450,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Olney', 'World War Two', 'concentration camps', 'Adolph Hitler', 'holocaust', 'Auschwitz', 'Sobibor', 'Treblinka', 'death camps', 'death trains']"
深深的伤疤,Howard Morgan,Paperback,USD 10.00,"大屠杀学者、劳勿。黑尔伯格（Raul Hilberg）在他的著作「毁灭欧洲犹太人」一书中，将教会对犹太人的敕令浓缩如下：

1.  你们没有权力活在我们中间为犹太人。
2.  你们没有权力活在我们中间。
3.  你们没有权力活。

在这本书里，我按时间顺序整理了这段历史。它反映出从罗马时期直到现今一再不断重复出现的一个模式。 这期间我们见证了十字军东征，宗教裁判，驱逐和各种大屠杀（Pogroms）；接着，所有这些手段都在灭族大屠杀（Holocaust）中达到颠峰。 在研究这段历史时，我们看出「反犹主义」的邪灵在每一年，每十年，和逐个世纪的运作形式。历史清楚显明牠是何时、何地以及如何扩散和传播的。 牠会偶尔在一个地方消失，然后又在另一个地方出现。  今时今日我们正眼睁睁地看着牠在世上复苏，且不单单是通过暴力和恐怖袭击而已，而是同时以很多其它的各种方式抬头。

为了遵行圣经的诫命并收获与之相关的祝福，我们每个人都必须向主求问，我们该如何亲自与「反犹主义」对立；且支持神成就祂对那久遭蹂烂、已经背负「深深的伤疤」之以色列和犹太人的目的......",2019,Chinese,9781387877546,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Howard Morgan,126,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Anti-Semitism', 'Howard Morgan', 'Jews', 'Holocaust', 'Christian', 'Israel']"
Oil and Water - An Historical Novel of the Second Temple Period,Levi Kaufman,Ebook,USD 2.99,"""Oil and Water"" is set nearly a century after the building of Jerusalem's Second Temple. Alexander the Great, the Greek conqueror, is dead and his empire is split; its Middle Eastern division contested by the Ptolemies of Egypt and the Syrian Seleucids. Tens of thousands of Jews, taken to Egypt as slaves some decades before, have only recently been freed. Some of these Jews, though deeply changed by their difficult experiences, sought to return to a homeland many of them had never seen...a homeland which might not even want them back. 
""Oil and Water,"" an historical novel, explores ancient political movements and fundamental struggles over power, glory and, for some, over truth. The book also probes one young man's very personal struggle to choose between idealism and assimilation. Between his great thirst to drink from the waters of the Torah and the pain and loneliness of cultural alienation.",2012,English,9780973887273,Fiction,All Rights Reserved - Standard Copyright License,By (author): Levi Kaufman,,,,,EPUB,"['jerusalem', 'second temple', 'torah', 'high priest', 'kohen gadol', 'ancient greece', 'judaism']"
TÃO PROFUNDA CICATRIZ,Howard Morgan,Paperback,USD 10.00,"O estudioso do Holocausto Raul Hilberg, em seu livro A Destruição dos Judeus Europeus, encapsulou os éditos da Igreja em relação ao povo judeu desta maneira:
1. Vocês não têm o direito de viver em nosso meio como judeus.
2. Vocês não têm o direito de viver entre nós.
3. Vocês não têm o direito de viver.
Neste livro, organizei esta história cronologicamente. Ele mostra um padrão repetido uma e outra vez desde o período romano até os dias de hoje. Nós testemunhamos Cruzadas, Inquisições, Expulsões e Pogroms, tudo isso culminou no Holocausto. Enquanto estudamos esta história, podemos ver o ano-a-ano, década-a-década e século-a-século da operação do espírito de antissemitismo. A história nos mostra quando, onde e como se espalhou.",2019,Portuguese,9780359686131,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Howard Morgan,132,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Anti-Semitism', 'Howard Morgan', 'Jews', 'Holocaust', 'Christian', 'Israel']"
"HMS Germany III - Nazi Germany, 1933-1945",Kurt E. Breitner,Ebook,USD 5.99,"This book on the history of Nazi Germany is for everyone who finds history dull and boring. It is made as simple and enjoyable as possible, with hundreds of illustrations and lots of humor and irony. Highly recommended for the general reading public and other non-specialists.",2014,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Kurt E. Breitner,,,,,PDF,"['Hitler', 'Nazi', 'Fascism', 'Holocaust', 'Germany', 'Merkel', 'Jews', 'Communism']"
Hebrew Christians fight Beginings for the Gospel of Jesus  May 2010,Vasile Mesaros-Anghel,Ebook,USD 6.67,"Description:	About It is a text that presents facts happened two thousand years ago. In year 5, boiling between Judea revolt against Roman occupant, split between recipients and outcasts of fortune, the moral degradation and mesianism. Among insiders raises a Hebrew prophet: Jesus of Nazareth. He teach, by curing, miracles of God's love for all people, in the spirit of Essenes communities: work, life and faith together. Things practiced by the ancient Hebrew people, but unknown to other nations. It was the Hebrew apostles to lead our evangelism among Jews, to transgression The Ten Commandments, Torah and the Laws of Moses in adapted forms, accessible cultural level of the new non Jews followers. In a hundred years, the Hebrew Christians Communities came as messianic role, the stage of history, but the mission fulfilled. When Moses built A PEOPLE FOR A FAITH, Apostless has generated A FAITH FOR ALL THE PEOPLES. Mesaros-Anghel Vasile Bucuresti – Romania 2009 Mail: [email protected]",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Vasile Mesaros-Anghel,,,,,PDF,"['Jesus', 'Hebrew', 'Christian', 'apostle', 'Jehosuah', 'God', 'Allah', 'Jew', 'Sanhedrin', 'roman', 'muslim', 'mameluke', 'crusader', 'ottoman', 'british', 'alya', 'Eretz Israel', 'Mesaros Anghel']"
The Road to Ramallah,Alan W. Horton,Hardcover,USD 38.20,"The Road to Ramallah is treacherous. Even when your guides are your oldest friends. Even when you're trying to do the right thing. Even when your country says it will watch your back as it sends you into harm's way.
   Cairo-based American businessman Bill Hampton doesn't know why he's being followed, or why mysterious men are stalking his family. He has no enemies. But neither US Embassy diplomats nor the CIA have any reassuring answers. 
   Palestinian factions, Israeli security forces and American spies know Hampton has something much more dangerous than enemies. 
   He has friends.
   Bill grew up in Palestine, and his boyhood pals are now leaders struggling for the power to make war or peace. The CIA thinks Bill can connect peacemakers on all sides... 
but if anyone suspects what he's doing, neither Bill nor his friends will survive.
   The Road to Ramallah is a classic thriller of international intrigue, divided loyalties and dangerous love.",2015,English,9780578162706,Fiction,All Rights Reserved - Standard Copyright License,By (author): Alan W. Horton,342,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['suspense', 'intrigue', 'Arab-Israeli conflict', 'CIA', 'danger', 'friendship', 'betrayal', 'Jews', 'Palestinians', 'Americans', 'murder']"
חגי ישראל,Smadar Ifrach,Ebook,USD 12.99,"Cookbook of the Jewish holidays, festive and special holiday dishes, and customs of the Jews, kosher recipe, it is very easy to prepare, and recipes can be on the table in 30 minutes and even less kosher recipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9781387993994,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['Holiday', 'Cooking', 'Baking', 'kosher', 'Jewish', 'book', 'recipes', 'dishes', 'salads', 'fruits', 'new year', 'yom kippur', 'succot', 'simchat torah', 'bakery', 'vegetables', 'smadar', 'Tu Bishvat', 'Independence Day', 'Passover', 'Shavuot', 'Hanukkah', 'Purim', 'smadar ifrach']"
t,Ibrahim Gaffer,Paperback,USD 44.20,"This is a hurried not very good (I hope that it is not a weak or poor) translation to a nice book written by the Islamic thinker: Ibrahim Gaffer.
Anyhow I apologize to the readers for any spelling or grammatical mistakes that appear through this book, as English is not my mother tongue! it is a comparison 
between: Islam Christian and Jews",2013,English,9781304324580,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Ibrahim Gaffer,104,Paperback,Color,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['spider', 'web', 'Islam', 'christian.jews']"
