Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
موسوعة تاريخ بني إسرائيل - الجزء الثاني,Dr. Ahmed M. Safwat,Hardcover,USD 81.55,"Many times the facts are before our eyes, but we do not see them, and other times those facts need a great search and painstaking investigation to investigate and verify them, and here is the Encyclopedia of History of Israel sons investigating many missing facts and placing them in your hands and before your eyes .. The Encyclopedia of History of Israel sons is a historical epic and cut Literary and cultural treasure for all lovers of history and literature is not worthy of money .. The encyclopedia contains a high degree of transparency, and a huge amount of information that was personally surprised by it .. I actually consider it a son of my sons or a girl of my daughters .. and you will not believe the effort that I made for it in order for me to put it in your hands .. I did not mean money or fame in writing it as much as I mean to convey the truth .. O you who search for the truth without excess or negligence, this is an encyclopedia of the history of the Children of Israel in your hands. I present it to you, and I hope that God will benefit the worlds forever and ever. And the length of time .. The Encyclopedia of History of Israel sons is a study in four volumes that lasted for more than five years, of the heritage of the Jews and their ancient and modern history. This historical encyclopedia deals with the emergence of the ""Jews"" of Israel, and their long struggle from beginning to end, and sheds light on the world that surrounds us, the position of the Jews in relation to this world, and their inevitable destiny .. In that it sheds light on the Jews of the Torah or the ancient Jews ""Bani Israel The Torah ""unparalleled clearly reveals the difference between them and the Jews of the present age from a purely scientific, anthropological and historical aspect. This historical encyclopedia talks about the history of the Jews since ancient times, their characteristics, their corruption on earth (the first and second time), their great height, the reality of the world today, how they control the world, the story of Solomon's temple, their bitter end, the cosmic laws of God, and good tidings for Muslims to conquer the Levant ; Syria and Palestine. This encyclopedia deals with the history of the Jews in different and important stages, such as the Babylonian and Roman exile, the mission of Jesus bin Mary, the mission of the Prophet .. It sheds light on the Jews' conflict with the Romans at one time and with the Christians at other...",2021,Egyptian,9781716169564,History,All Rights Reserved - Standard Copyright License,By (author): Dr. Ahmed M. Safwat,540,Hardcover,Color,Executive (7 x 10 in / 178 x 254 mm),,"['history', 'middle east', 'jews', 'war', 'peace', 'jewish', 'israel', 'Jacob', 'abraham', 'palestine', 'Isaac', 'moses', 'beginning of israel', 'end of israel', 'ancient history of jews', 'modern history of jews']"
Hitler's War and the Horrific Account of the Holocaust,Scott S. F. Meaker,Ebook,USD 1.85,"**Please Note: Hitler’s War and the Horrific Account of the Holocaust is a short book**

-:The Holocaust remains as a reference to the destruction of about six million Jews. The collection of undesirables began in 1933 with the construction of the first concentration camp. As Hitler’s power grew, he rounded up others that he considered undesirable. Hitler had come into power and the slow destruction of Jews was put into place. In 1942, about a million Jews had already been killed. Execution was just one cause of death. Two and a half million have been gassed and a half million starved to death. Typhus outbreak killed many others after the Allied victory.
Tags: History, War, United States, Second World War, World War Two, Hitler, Holocaust",2014,English,9781312235908,History,All Rights Reserved - Standard Copyright License,By (author): Scott S. F. Meaker,,,,,EPUB,"['United States', 'World War', 'War', 'World War Two', 'World War One', 'World War 11', 'World War 1', 'Second World War', 'First World War', 'Hitler', 'European History', 'Eastern Europe', 'Germany', 'Holocaust', 'Military Science', 'Third Reich', 'Churchill', '20th. Century', 'Atomic Bomb']"
THE ACTS OF THE APOSTLES,David M Pearce,Paperback,USD 3.16,A study of the Bible book of Acts. Tells the challenging story in simple English of how the apostles carried the gospel to Jews and then to Greeks across the first century Roman world.,2015,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): David M Pearce,54,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Acts', 'Paul', 'New Testament', ""Paul's journeys"", 'gospel', 'Bible study']"
Torah and Zionism?,anonymous,Paperback,USD 22.76,Does the Torah require Jews to live in Israel?  Does the Torah require even yeshiva students to serve in the Israeli army?,2006,English,9781847286192,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): anonymous,344,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['torah', 'zionism', 'tzahal', 'Religion', 'Spirituality', 'Judaism', 'Judaica']"
Prophecies of the Messiah,James C. Taylor,Paperback,USD 8.80,"For Jew and Gentile alike.  For Jews and Christians alike.  There is a ""preponderance of evidence"" in the Bible - by way of prophecies given to man by God - about the identity of the Messiah of the Jews and the Christ of the Christians.  It is the purpose of this book to show that ""preponderance of evidence"" by linking Old Testament prophecies with New Testament fulfillment; with special sections devoted to the Prophetic Seven Feasts of Israel: in itself, an intriguing and inspiring study.",2014,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): James C. Taylor,118,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['The Messiah', 'The Christ', 'Feasts of Israel', 'Prophecy']"
Fingerprints of the Holy Spirit,Alisa K. Brown,Paperback,USD 10.92,This book asks some of the deeper questions about the Christian faith and beliefs. The Bible answers for us such questions as: Is Christian rock music evil? Will the Jews finally rebuild their temple? And what is Cern doing that scares physicist Stephen Hawking--and why are they doing it?,2015,English,9781329543720,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Alisa K. Brown,152,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Faith', 'Rapture', 'End Times', 'Tribulation', 'Hebrew Roots']"
По долгу совести. Из евреев – в генералы Царской России,Lev Berdnikov,Paperback,USD 6.90,"Документально-художественное эссе Льва Бердникова посвящено жизни и судьбе выдающегося военачальника Михаила Владимировича Грулева (1857-1943). Выходец из еврейского местечка, он стал героем войны, генерал-лейтенантом Российского Генштаба, обладателем самых почетных наград и орденов, блистательным публицистом, военным аналитиком и историком. Грулев стал удивительным феноменом исторического деятеля, соединившего в себе беззаветную любовь к России и русскому народу и заботу о своих соплеменниках. Особое внимание уделено его итоговой книге “Записки генерала-еврея” (1930), адресованной “многострадальному еврейскому народу” и пожертвованной автором “в пользу Сионизма – в Еврейский национальный фонд”.",2022,Russian,9781387838226,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Lev Berdnikov,60,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Russia', 'jews', 'history']"
torah and zionism,anonymous,Paperback,USD 13.92,Do all Jews have to move to Israel?  Do all Jewish men including yeshiva students need to serve in the Israeli army?,2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): anonymous,346,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['torah', 'zionism', 'tzahal', 'israel', 'jews', 'judiasm', 'nazi', 'holocaust', 'army', 'IDF']"
OUR WAY,Michelle Jean,Paperback,USD 5.90,"Our Way is a must- read book and one you should have in your catalogue of books. 

The book is hard hitting as it briefly touches on Jesus Christ, the Romans and Jews.",2016,English,9781329970007,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Michelle Jean,50,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['Our Way']
Jewish Influence in Christian Reform Movements,Louis Newman,Paperback,USD 34.95,"In his work, Rabbi Newman documents the struggle between Christianity and Judaism. 

The Rabbi also includes information on Jewish Influence in fomenting the Protestant revolt against the Catholic Church, which led to the freeing of Jews from Church strictures and mainstreaming them into the political and social life of Christendom, particularly in Protestant countries.

Newman even takes up the topic of Jewish influence in Puritan New England. All in all, this is an important book for those wishing to understand the mutual antipathies which have beset Christians and Jews.",2016,English,9781365145490,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Louis Newman,574,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Christianity', 'Catholic', 'Protestant', 'Christian history', 'Church history', 'Judeo-Christianity']"
